1980,11,9,2
1981,12,7,3
1982,6,2,1
1983,4,3,1
1984,13,5,1
1985,11,7,3
1986,6,4,0
1987,7,3,1
1988,12,5,3
1989,11,7,2
1990,14,8,1
1991,8,4,2
1992,7,4,1
1993,8,4,1
1994,7,3,0
1995,19,11,5
1996,13,9,6
1997,8,3,1
1998,14,10,3
1999,12,8,5
2000,15,8,3
2001,15,9,4
2002,12,4,2
2003,16,7,3
2004,15,9,6
2005,28,15,7
2006,10,5,2
2007,15,6,2
2008,16,8,5
2009,9,3,2
2010,19,12,5
2011,19,7,4
2012,19,10,2
2013,14,2,0
2014,8,6,2
2015,11,4,2
2016,15,7,4
2017,17,10,6
2018,15,8,2
2019,18,6,3
2020,30,14,7
2021,21,7,4
2022,14,8,2
